country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Chile,2016,249344863928.438,18267176.0,0.8552,6.673,13649.885670803083,9.521486424812688,2.8436782754664547,,
Chile,2017,276154259981.097,18558817.0,0.8553999999999999,7.257,14879.949513004896,9.607769915438109,10.751934341167455,,
Chile,2018,295857562991.709,18893141.0,0.8556,7.623,15659.52230980063,9.658834465235394,7.134890119732607,,
Chile,2019,278285058719.466,19197702.0,0.8558,7.493,14495.748434862986,9.581610674025042,-5.939514979623972,,
Chile,2020,254042159309.311,19370563.0,0.856,10.934,13114.856770518802,9.481500971198168,-8.7115346837912,,
Chile,2021,315325547162.072,19456275.0,0.865,9.281,16206.881695600625,9.693191227044917,24.123314027631505,,
Chile,2022,301226575540.242,19552984.0,0.869,8.249,15405.6575477299,9.642490094165913,-4.471243053003693,,
Chile,2023,335518054097.637,19658791.0,0.878,9.013,17067.074679090743,9.744906429051696,11.38394860941274,,
Colombia,2001,98200641203.3892,39709209.0,0.6852,15.04,2472.9941410666024,7.81318489835832,-1.6765281512525765,,
Colombia,2002,97945812802.8882,40324632.0,0.6914,14.481,2428.9325889666693,7.795207176030265,-0.2594976951048822,,
Colombia,2003,94644969157.0987,40937378.0,0.6976,13.221,2311.945067832598,7.745844469922028,-3.370071217268178,,
Colombia,2004,117092416666.245,41543134.0,0.7038,13.717,2818.574464464934,7.943986527064394,23.71752847410873,,
Colombia,2005,145600529605.803,42128928.0,0.71,11.062,3456.070128482809,8.14788742152444,24.346677394844683,,
Colombia,2006,161792958904.864,42691022.0,0.7162000000000001,11.091,3789.859116159459,8.240084124868265,11.121133517096515,,
Colombia,2007,206229540926.312,43235327.0,0.7224,11.204,4769.93133245672,8.470087188067389,27.46509015115868,,
Colombia,2008,242504150472.931,43758748.0,0.7286,11.273,5541.8438953722125,8.620082557464357,17.589434270030345,,
Colombia,2009,232468663109.595,44271496.0,0.7348,12.066,5250.9782617148285,8.566169673792084,-4.138274476442905,,
Colombia,2010,286498534094.963,44777278.0,0.741,11.153,6398.301703264835,8.763787875269001,23.241786769297224,,
Colombia,2011,334966134804.887,45259560.0,0.7462,10.288,7401.0028998268435,8.909370797012935,16.91722467726795,,
Colombia,2012,370691143018.039,45715766.0,0.7514,9.959,8108.606186715519,9.000681268802301,10.665259708704957,,
Colombia,2013,382093697077.685,46151536.0,0.7566,9.246,8279.11116712746,9.021490894651924,3.076025493031831,,
Colombia,2014,381240864422.407,46565374.0,0.7618,8.799,8187.217919100295,9.01032942672103,-0.2231998752663555,,
Colombia,2015,293492370193.166,46969894.0,0.767,8.572,6248.521024832759,8.740100078700966,-23.01655001285944,,
Colombia,2016,282720100286.228,47437468.0,0.7664,8.922,5959.848031649329,8.6928002616889,-3.670374769827256,,
Colombia,2017,311866875156.879,48131023.0,0.7658,9.086,6479.539717177402,8.776404755523695,10.309410205055316,,
Colombia,2018,334198218098.276,49024413.0,0.7652,9.36,6816.975413826495,8.827171164759024,7.160536985585142,,
Colombia,2019,323031701192.84,49907932.0,0.7646000000000001,10.28,6472.552322801915,8.77532579545581,-3.3412855906228334,,
Colombia,2020,270348342541.465,50629945.0,0.764,15.983,5339.692597759389,8.582923364334595,-16.30903668489325,,
Colombia,2021,318524633225.395,51188120.0,0.762,13.898,6222.628086856775,8.735947618498637,17.820079912840935,,
Colombia,2022,345632492851.448,51737891.0,0.782,10.547,6680.451911954587,8.80694091573264,8.510443714056759,,
Colombia,2023,366291836137.916,52321104.0,0.788,9.594,7000.843027660808,8.85378585330901,5.977257264220048,,
Ecuador,2001,23127055000.0,12910685.0,0.6884,4.252,1791.3112278705585,7.490703160202617,31.857320307221173,,
Ecuador,2002,27054197000.0,13138427.0,0.6938000000000001,4.836,2059.1656063545506,7.630056134271602,16.980726685693437,,
Ecuador,2003,30965208000.0,13372246.0,0.6992,5.662,2315.6325422071955,7.747438165572673,14.456208033082628,,
Ecuador,2004,35194947000.0,13608650.0,0.7046,5.002,2586.218838753293,7.857952180172585,13.65964988835211,,
Ecuador,2005,40278849000.0,13846112.0,0.71,3.779,2909.0367750889204,7.975577300247168,14.444977001954284,,
Ecuador,2006,45690762000.0,14086093.0,0.7154,3.55,3243.6788540299995,8.084463413426647,13.436116310076285,,
Ecuador,2007,49848725000.0,14328733.0,0.7208,3.142,3478.9345994513264,8.154481376312217,9.100226868617334,,
Ecuador,2008,61139438000.0,14575156.0,0.7262,3.917,4194.770745506943,8.341593967945979,22.64995343411492,,
Ecuador,2009,60094978000.0,14825912.0,0.7316,4.608,4053.374794076749,8.307305095601563,-1.708324502426728,,
Ecuador,2010,68151329000.0,15076646.0,0.737,4.088,4520.324281673788,8.416339013985958,13.406030367462662,,
Ecuador,2011,78986648000.0,15326174.0,0.7424,3.458,5153.709464606104,8.547472018767012,15.898910790132948,,
Ecuador,2012,87735048000.0,15572144.0,0.7478,3.235,5634.102022174981,8.636593056574632,11.075796000356933,,
Ecuador,2013,96570334000.0,15807087.0,0.7532,3.083,6109.306161217433,8.717568487815234,10.070417924658791,,
Ecuador,2014,102717794000.0,16035075.0,0.7586,3.48,6405.819367854531,8.764962132433826,6.365785169594629,,
Ecuador,2015,97209558000.0,16266173.0,0.764,3.616,5976.178785261905,8.695536643577643,-5.3624944476514,,
Ecuador,2016,97671433000.0,16505094.0,0.7592,4.597,5917.653846745738,8.685695339655291,0.4751333197091645,,
Ecuador,2017,104467486000.0,16759466.0,0.7544,3.836,6233.342160185772,8.737667930246149,6.958076472575159,,
Ecuador,2018,107478961000.0,17049489.0,0.7496,3.53,6303.9403116421845,8.748930163162019,2.882691175319363,,
Ecuador,2019,107595830000.0,17339967.0,0.7448,3.812,6205.076976213392,8.733123103075602,0.1087366298600622,,
Ecuador,2020,95865473000.0,17546006.0,0.74,6.127,5463.663525476966,8.605874819097707,-10.902241285744996,,
Ecuador,2021,107179074000.0,17682398.0,0.753,4.552,6061.342697975693,8.709686621843668,11.801538808450871,,
Ecuador,2022,116133121000.0,17823857.0,0.773,3.761,6515.599906350236,8.78195456611029,8.354286583965065,,
